cycle,timestamp,phase,service,p95_ms,throughput_rps,cpu_cores,replicas
29,2026-05-26T01:40:11.637790,BASELINE,frontend,2434.87,4.2467,0.0,5
29,2026-05-26T01:40:11.637790,BASELINE,productcatalogservice,113.16,24.8488,0.0,1
29,2026-05-26T01:40:11.637790,BASELINE,checkoutservice,967.46,0.1334,0.0,5
29,2026-05-26T01:40:11.637790,BASELINE,cartservice,189.52,4.1599,0.0,1
29,2026-05-26T01:40:11.637790,BASELINE,recommendationservice,388.59,3.2016,0.0,1
30,2026-05-26T01:40:54.069737,BASELINE,frontend,2002.79,4.4655,0.0,5
30,2026-05-26T01:40:54.069737,BASELINE,productcatalogservice,68.79,22.5801,0.0,1
30,2026-05-26T01:40:54.069737,BASELINE,checkoutservice,3625.44,0.3329,0.0,5
30,2026-05-26T01:40:54.069737,BASELINE,cartservice,88.34,4.2431,0.0,1
30,2026-05-26T01:40:54.069737,BASELINE,recommendationservice,242.93,2.9215,0.0,1
31,2026-05-26T01:41:39.806665,BASELINE,frontend,2221.94,4.1377,0.0,5
31,2026-05-26T01:41:39.806665,BASELINE,productcatalogservice,86.53,23.5701,0.0,1
31,2026-05-26T01:41:39.806665,BASELINE,checkoutservice,4585.2,0.1335,0.0,5
31,2026-05-26T01:41:39.806665,BASELINE,cartservice,133.86,4.3594,0.0,1
31,2026-05-26T01:41:39.806665,BASELINE,recommendationservice,239.85,3.3804,0.0,1
32,2026-05-26T01:42:26.697631,BASELINE,frontend,2085.16,4.1564,0.0,5
32,2026-05-26T01:42:26.697631,BASELINE,productcatalogservice,102.26,23.4249,0.0,1
32,2026-05-26T01:42:26.697631,BASELINE,checkoutservice,950.01,0.0889,0.0,5
32,2026-05-26T01:42:26.697631,BASELINE,cartservice,98.85,3.957,0.0,1
32,2026-05-26T01:42:26.697631,BASELINE,recommendationservice,348.44,3.1232,0.0,1
33,2026-05-26T01:43:14.929791,BASELINE,frontend,3434.23,4.7537,0.0,5
