cycle,timestamp,phase,service,p95_ms,throughput_rps,cpu_cores,replicas
51,2026-05-29T02:35:11.758093,FAULT_INJECTION,productcatalogservice,3.7,32.556,0.0,1
51,2026-05-29T02:35:11.758093,FAULT_INJECTION,checkoutservice,35.0,0.3111,0.0,1
51,2026-05-29T02:35:11.758093,FAULT_INJECTION,cartservice,4.86,6.3111,0.0,1
51,2026-05-29T02:35:11.758093,FAULT_INJECTION,recommendationservice,7.25,4.2223,0.0,1
7,2026-05-29T02:35:18.709032,BASELINE,frontend,48.08,6.1112,0.0,1
7,2026-05-29T02:35:18.709032,BASELINE,productcatalogservice,3.74,32.6893,0.0,1
7,2026-05-29T02:35:18.709032,BASELINE,checkoutservice,35.0,0.3111,0.0,1
7,2026-05-29T02:35:18.709032,BASELINE,cartservice,4.86,6.3111,0.0,1
7,2026-05-29T02:35:18.709032,BASELINE,recommendationservice,7.32,4.3556,0.0,1
39,2026-05-29T02:35:18.959489,BASELINE,frontend,48.08,6.1112,0.0,1
39,2026-05-29T02:35:18.959489,BASELINE,productcatalogservice,3.74,32.6893,0.0,1
39,2026-05-29T02:35:18.959489,BASELINE,checkoutservice,35.0,0.3111,0.0,1
39,2026-05-29T02:35:18.959489,BASELINE,cartservice,4.86,6.3111,0.0,1
39,2026-05-29T02:35:18.959489,BASELINE,recommendationservice,7.32,4.3556,0.0,1
52,2026-05-29T02:35:42.793673,FAULT_INJECTION,frontend,48.18,5.8449,0.0,1
52,2026-05-29T02:35:42.793673,FAULT_INJECTION,productcatalogservice,3.78,32.4696,0.0,1
52,2026-05-29T02:35:42.793673,FAULT_INJECTION,checkoutservice,45.83,0.2222,0.0,1
52,2026-05-29T02:35:42.793673,FAULT_INJECTION,cartservice,4.89,5.8227,0.0,1
52,2026-05-29T02:35:42.793673,FAULT_INJECTION,recommendationservice,7.16,4.1559,0.0,1
8,2026-05-29T02:35:50.046416,BASELINE,frontend,48.62,5.8671,0.0,1
8,2026-05-29T02:35:50.046416,BASELINE,productcatalogservice,3.79,32.6473,0.0,1
8,2026-05-29T02:35:50.046416,BASELINE,checkoutservice,45.83,0.2222,0.0,1
8,2026-05-29T02:35:50.046416,BASELINE,cartservice,4.89,5.8227,0.0,1
8,2026-05-29T02:35:50.046416,BASELINE,recommendationservice,6.88,4.3336,0.0,1
40,2026-05-29T02:35:50.224661,BASELINE,frontend,48.62,5.8671,0.0,1
40,2026-05-29T02:35:50.224661,BASELINE,productcatalogservice,3.79,32.6473,0.0,1
40,2026-05-29T02:35:50.224661,BASELINE,checkoutservice,45.83,0.2222,0.0,1
40,2026-05-29T02:35:50.224661,BASELINE,cartservice,4.89,5.8227,0.0,1
40,2026-05-29T02:35:50.224661,BASELINE,recommendationservice,6.88,4.3336,0.0,1
41,2026-05-29T02:35:51.900162,FAULT_INJECTION,frontend,48.62,5.8671,0.0,1
41,2026-05-29T02:35:51.900162,FAULT_INJECTION,productcatalogservice,3.71,32.5351,0.0,1
41,2026-05-29T02:35:51.900162,FAULT_INJECTION,checkoutservice,45.83,0.2222,0.0,1
41,2026-05-29T02:35:51.900162,FAULT_INJECTION,cartservice,4.89,5.8227,0.0,1
41,2026-05-29T02:35:51.900162,FAULT_INJECTION,recommendationservice,6.88,4.3336,0.0,1
53,2026-05-29T02:36:13.982730,FAULT_INJECTION,frontend,49.76,4.067,0.0,1
53,2026-05-29T02:36:13.982730,FAULT_INJECTION,productcatalogservice,4.72,22.8018,0.0,1
53,2026-05-29T02:36:13.982730,FAULT_INJECTION,checkoutservice,42.5,0.1333,0.0,1
53,2026-05-29T02:36:13.982730,FAULT_INJECTION,cartservice,4.96,3.6225,0.0,1
53,2026-05-29T02:36:13.982730,FAULT_INJECTION,recommendationservice,3642.85,3.2448,0.0,1
9,2026-05-29T02:36:21.154614,BASELINE,frontend,4524.97,3.3114,0.0,1
9,2026-05-29T02:36:21.154614,BASELINE,productcatalogservice,4.87,22.335,0.0,1
